date,review_count,snapshot_date
2014-01-31,71,"22 December, 2024"
2014-02-28,68,"22 December, 2024"
2014-03-31,103,"22 December, 2024"
2014-04-30,122,"22 December, 2024"
2014-05-31,151,"22 December, 2024"
2014-06-30,147,"22 December, 2024"
2014-07-31,142,"22 December, 2024"
2014-08-31,161,"22 December, 2024"
2014-09-30,188,"22 December, 2024"
2014-10-31,235,"22 December, 2024"
2014-11-30,240,"22 December, 2024"
2014-12-31,249,"22 December, 2024"
2015-01-31,195,"22 December, 2024"
2015-02-28,210,"22 December, 2024"
2015-03-31,281,"22 December, 2024"
2015-04-30,347,"22 December, 2024"
2015-05-31,423,"22 December, 2024"
2015-06-30,488,"22 December, 2024"
2015-07-31,446,"22 December, 2024"
2015-08-31,428,"22 December, 2024"
2015-09-30,526,"22 December, 2024"
2015-10-31,630,"22 December, 2024"
2015-11-30,409,"22 December, 2024"
2015-12-31,382,"22 December, 2024"
2016-01-31,414,"22 December, 2024"
2016-02-29,438,"22 December, 2024"
2016-03-31,421,"22 December, 2024"
2016-04-30,414,"22 December, 2024"
2016-05-31,488,"22 December, 2024"
2016-06-30,501,"22 December, 2024"
2016-07-31,482,"22 December, 2024"
2016-08-31,480,"22 December, 2024"
2016-09-30,580,"22 December, 2024"
2016-10-31,735,"22 December, 2024"
2016-11-30,698,"22 December, 2024"
2016-12-31,742,"22 December, 2024"
2017-01-31,668,"22 December, 2024"
2017-02-28,719,"22 December, 2024"
2017-03-31,826,"22 December, 2024"
2017-04-30,1000,"22 December, 2024"
2017-05-31,995,"22 December, 2024"
2017-06-30,993,"22 December, 2024"
2017-07-31,876,"22 December, 2024"
2017-08-31,802,"22 December, 2024"
2017-09-30,1003,"22 December, 2024"
2017-10-31,1054,"22 December, 2024"
2017-11-30,853,"22 December, 2024"
2017-12-31,1088,"22 December, 2024"
2018-01-31,925,"22 December, 2024"
2018-02-28,959,"22 December, 2024"
2018-03-31,1144,"22 December, 2024"
2018-04-30,1320,"22 December, 2024"
2018-05-31,1349,"22 December, 2024"
2018-06-30,1331,"22 December, 2024"
2018-07-31,1377,"22 December, 2024"
2018-08-31,1345,"22 December, 2024"
2018-09-30,1496,"22 December, 2024"
2018-10-31,1718,"22 December, 2024"
2018-11-30,1571,"22 December, 2024"
2018-12-31,1610,"22 December, 2024"
2019-01-31,1378,"22 December, 2024"
2019-02-28,1525,"22 December, 2024"
2019-03-31,1794,"22 December, 2024"
2019-04-30,1907,"22 December, 2024"
2019-05-31,1911,"22 December, 2024"
2019-06-30,2021,"22 December, 2024"
2019-07-31,1908,"22 December, 2024"
2019-08-31,1641,"22 December, 2024"
2019-09-30,2120,"22 December, 2024"
2019-10-31,2325,"22 December, 2024"
2019-11-30,2106,"22 December, 2024"
2019-12-31,2288,"22 December, 2024"
2020-01-31,1875,"22 December, 2024"
2020-02-29,2096,"22 December, 2024"
2020-03-31,1021,"22 December, 2024"
2020-04-30,67,"22 December, 2024"
2020-05-31,102,"22 December, 2024"
2020-06-30,366,"22 December, 2024"
2020-07-31,1061,"22 December, 2024"
2020-08-31,998,"22 December, 2024"
2020-09-30,709,"22 December, 2024"
2020-10-31,641,"22 December, 2024"
2020-11-30,344,"22 December, 2024"
2020-12-31,435,"22 December, 2024"
2021-01-31,517,"22 December, 2024"
2021-02-28,525,"22 December, 2024"
2021-03-31,496,"22 December, 2024"
2021-04-30,534,"22 December, 2024"
2021-05-31,1007,"22 December, 2024"
2021-06-30,880,"22 December, 2024"
2021-07-31,1501,"22 December, 2024"
2021-08-31,2094,"22 December, 2024"
2021-09-30,1863,"22 December, 2024"
2021-10-31,2272,"22 December, 2024"
2021-11-30,2524,"22 December, 2024"
2021-12-31,2380,"22 December, 2024"
2022-01-31,1942,"22 December, 2024"
2022-02-28,2069,"22 December, 2024"
2022-03-31,2669,"22 December, 2024"
2022-04-30,3524,"22 December, 2024"
2022-05-31,3843,"22 December, 2024"
2022-06-30,3962,"22 December, 2024"
2022-07-31,4568,"22 December, 2024"
2022-08-31,4614,"22 December, 2024"
2022-09-30,4163,"22 December, 2024"
2022-10-31,4775,"22 December, 2024"
2022-11-30,4603,"22 December, 2024"
2022-12-31,4577,"22 December, 2024"
2023-01-31,3892,"22 December, 2024"
2023-02-28,4161,"22 December, 2024"
2023-03-31,5073,"22 December, 2024"
2023-04-30,6148,"22 December, 2024"
2023-05-31,6558,"22 December, 2024"
