date,review_count,snapshot_date
2021-05-31,1974,"20 June, 2025"
2021-06-30,2676,"20 June, 2025"
2021-07-31,4343,"20 June, 2025"
2021-08-31,6092,"20 June, 2025"
2021-09-30,5381,"20 June, 2025"
2021-10-31,5989,"20 June, 2025"
2021-11-30,5509,"20 June, 2025"
2021-12-31,4002,"20 June, 2025"
2022-01-31,3552,"20 June, 2025"
2022-02-28,3586,"20 June, 2025"
2022-03-31,4856,"20 June, 2025"
2022-04-30,6584,"20 June, 2025"
2022-05-31,7528,"20 June, 2025"
2022-06-30,7723,"20 June, 2025"
2022-07-31,8581,"20 June, 2025"
2022-08-31,8108,"20 June, 2025"
2022-09-30,8418,"20 June, 2025"
2022-10-31,8030,"20 June, 2025"
2022-11-30,6664,"20 June, 2025"
2022-12-31,5606,"20 June, 2025"
2023-01-31,5644,"20 June, 2025"
2023-02-28,5906,"20 June, 2025"
2023-03-31,6739,"20 June, 2025"
2023-04-30,8005,"20 June, 2025"
2023-05-31,9200,"20 June, 2025"
2023-06-30,9407,"20 June, 2025"
2023-07-31,10076,"20 June, 2025"
2023-08-31,9002,"20 June, 2025"
2023-09-30,10277,"20 June, 2025"
2023-10-31,9954,"20 June, 2025"
2023-11-30,7294,"20 June, 2025"
2023-12-31,7040,"20 June, 2025"
2024-01-31,6260,"20 June, 2025"
2024-02-29,6859,"20 June, 2025"
2024-03-31,8615,"20 June, 2025"
2024-04-30,10039,"20 June, 2025"
2024-05-31,11578,"20 June, 2025"
2024-06-30,13445,"20 June, 2025"
2024-07-31,13216,"20 June, 2025"
2024-08-31,11920,"20 June, 2025"
2024-09-30,13742,"20 June, 2025"
2024-10-31,12220,"20 June, 2025"
2024-11-30,9246,"20 June, 2025"
2024-12-31,9052,"20 June, 2025"
2025-01-31,7794,"20 June, 2025"
2025-02-28,8959,"20 June, 2025"
2025-03-31,10454,"20 June, 2025"
2025-04-30,12318,"20 June, 2025"
2025-05-31,14090,"20 June, 2025"
2025-06-30,7006,"20 June, 2025"
2009-06-30,1,"21 December, 2024"
2009-07-31,0,"21 December, 2024"
2009-08-31,0,"21 December, 2024"
2009-09-30,0,"21 December, 2024"
2009-10-31,0,"21 December, 2024"
2009-11-30,0,"21 December, 2024"
2009-12-31,0,"21 December, 2024"
2010-01-31,0,"21 December, 2024"
2010-02-28,1,"21 December, 2024"
2010-03-31,0,"21 December, 2024"
2010-04-30,0,"21 December, 2024"
2010-05-31,0,"21 December, 2024"
2010-06-30,4,"21 December, 2024"
2010-07-31,4,"21 December, 2024"
2010-08-31,5,"21 December, 2024"
2010-09-30,17,"21 December, 2024"
2010-10-31,11,"21 December, 2024"
2010-11-30,11,"21 December, 2024"
2010-12-31,9,"21 December, 2024"
2011-01-31,14,"21 December, 2024"
2011-02-28,8,"21 December, 2024"
2011-03-31,13,"21 December, 2024"
2011-04-30,16,"21 December, 2024"
2011-05-31,21,"21 December, 2024"
2011-06-30,23,"21 December, 2024"
2011-07-31,24,"21 December, 2024"
2011-08-31,20,"21 December, 2024"
2011-09-30,29,"21 December, 2024"
2011-10-31,34,"21 December, 2024"
2011-11-30,31,"21 December, 2024"
2011-12-31,26,"21 December, 2024"
2012-01-31,38,"21 December, 2024"
2012-02-29,30,"21 December, 2024"
2012-03-31,32,"21 December, 2024"
